ISO	Language	Level	Category	CategoryEN	Region1Code	Region2Code	Region3Code	Region4Code	Region	Latitude	Longitude	Elevation	ISO2	FIPS	NUTS	HASC	STAT
BY	RU	1	вобласць	Region	01				Брестская область	52.44825	25.09482	154	BY-BR	BO01		BY.BR	01
CH	FR	1	Cantón	State	22				Uri	46.81440	8.63624	470	CH-UR	SZ21		CH.UR	04
CH	FR	1	Cantón	State	23				Vaud	46.58449	6.66987	580	CH-VD	SZ23		CH.VD	22
CH	FR	1	Cantón	State	24				Valais	46.21894	7.44815	826	CH-VS	SZ22		CH.VS	23
CH	FR	1	Cantón	State	25				Zug	47.16881	8.52294	699	CH-ZG	SZ24		CH.ZG	09
CH	FR	1	Cantón	State	26				Zurich	47.41367	8.66025	530	CH-ZH	SZ25		CH.ZH	01
CH	IT	1	Cantone	State	01				Argovia	47.40782	8.19442	396	CH-AG	SZ01		CH.AG	19
BB	EN	1	Parish	Parish	06				Saint Joseph	13.20232	-59.52676	18	BB-06	BB06		BB.JS	06
BB	EN	1	Parish	Parish	07				Saint Lucy	13.30556	-59.61610	37	BB-07	BB07		BB.LU	07
BB	EN	1	Parish	Parish	08				Saint Michael	13.12040	-59.60066	28	BB-08	BB08		BB.MI	08
BB	EN	1	Parish	Parish	09				Saint Peter	13.25935	-59.61663	124	BB-09	BB09		BB.PE	09
